mean_1,standard_deviation_1,median_1,min_value_1,max_value_1,range_1,interquartile_range_1,q1_1,q3_1,kurtosis_1,skewness_1,station_1,channel_1,class_1,mean_2,standard_deviation_2,median_2,min_value_2,max_value_2,range_2,interquartile_range_2,q1_2,q3_2,kurtosis_2,skewness_2,station_2,channel_2,class_2
-12420.612258494337,1787.1156470690316,-12118.0,-20095,-5553,14542,2038.0,-13311.0,-11273.0,1.7396199182947685,-0.6976953960663643,MELAB,HHE,BEBENG,26.7728181212525,3441.059766526796,14.0,-13731.0,14202.0,27933.0,2114.0,-1019.0,1095.0,3.309458632341084,0.1811594173623834,MEPAS,HHE,BEBENG
-10896.167888074617,1718.284347945514,-10748.0,-21683,-3843,17840,1559.0,-11610.0,-10051.0,3.9438306570087054,-0.7519287512643313,MELAB,HHN,BEBENG,-21.16655562958028,3986.992718447004,-56.0,-19513.0,18687.0,38200.0,2413.0,-1202.0,1211.0,4.000727548269031,-0.1489496323611769,MEPAS,HHN,BEBENG
-7959.637574950033,1091.805334282873,-7948.0,-11959,-3167,8792,795.0,-8361.0,-7566.0,2.924883957375401,0.1837236231038755,MELAB,HHZ,BEBENG,-9.502998001332443,1738.3960776749802,-36.0,-10494.0,7978.0,18472.0,1331.0,-702.0,629.0,4.808833699220551,-0.0823835732020783,MEPAS,HHZ,BEBENG
16.87541638907395,3427.383526430001,-53.0,-14757,12935,27692,2364.0,-1145.0,1219.0,2.8863836687510425,0.0147734923012235,MEPAS,HHE,BEBENG,-11952.875454545454,1373.3772334641058,-11634.5,-18896.0,-7042.0,11854.0,1283.25,-12461.0,-11177.75,3.624292553123799,-1.1436526981397055,MELAB,HHE,BEBENG
-157.37308461025984,3747.307141424843,-52.0,-18362,14178,32540,2785.0,-1420.0,1365.0,3.8077318278787393,-0.3885711427496808,MEPAS,HHN,BEBENG,-10087.59493670886,1095.9537657720205,-10445.0,-14409.0,-7321.0,7088.0,1950.0,-10895.0,-8945.0,-0.8445980254007246,0.0242296364482305,MELAB,HHN,BEBENG
-22.07128580946036,1971.3354116887435,-51.0,-10370,9107,19477,1561.0,-766.0,795.0,3.8464871921738064,-0.1446559188081445,MEPAS,HHZ,BEBENG,-8315.313790806129,1203.2452562571011,-8298.0,-14163.0,-2830.0,11333.0,771.0,-8675.0,-7904.0,6.035556662448911,-0.3190613583772741,MELAB,HHZ,BEBENG
-12798.526315789471,1258.2494523546527,-12744.0,-18427,-6358,12069,1591.0,-13576.0,-11985.0,1.5599524629813717,-0.0791072717370644,MELAB,HHE,BEBENG,26.7728181212525,3441.059766526796,14.0,-13731.0,14202.0,27933.0,2114.0,-1019.0,1095.0,3.309458632341084,0.1811594173623834,MEPAS,HHE,BEBENG
-10810.88940706196,1034.6511433499818,-10770.0,-14360,-7335,7025,1393.0,-11505.0,-10112.0,0.2614338030643419,-0.0113898372994523,MELAB,HHN,BEBENG,-21.16655562958028,3986.992718447004,-56.0,-19513.0,18687.0,38200.0,2413.0,-1202.0,1211.0,4.000727548269031,-0.1489496323611769,MEPAS,HHN,BEBENG
-7890.668221185876,782.3480386292721,-7859.0,-10775,-4876,5899,939.0,-8355.0,-7416.0,1.0368964075672027,-0.1972313795030195,MELAB,HHZ,BEBENG,-9.502998001332443,1738.3960776749802,-36.0,-10494.0,7978.0,18472.0,1331.0,-702.0,629.0,4.808833699220551,-0.0823835732020783,MEPAS,HHZ,BEBENG
45.832111925383074,2003.9768406037915,79.0,-8106,10760,18866,1968.0,-915.0,1053.0,2.7414590512006924,-0.0016296443131803,MEPAS,HHE,BEBENG,-11952.875454545454,1373.3772334641058,-11634.5,-18896.0,-7042.0,11854.0,1283.25,-12461.0,-11177.75,3.624292553123799,-1.1436526981397055,MELAB,HHE,BEBENG
-53.49233844103931,2418.1780315173623,-112.0,-11896,10254,22150,2348.0,-1275.0,1073.0,2.9448176541914304,0.0020113856640009,MEPAS,HHN,BEBENG,-10087.59493670886,1095.9537657720205,-10445.0,-14409.0,-7321.0,7088.0,1950.0,-10895.0,-8945.0,-0.8445980254007246,0.0242296364482305,MELAB,HHN,BEBENG
52.65889407061959,1190.3833362595203,40.0,-5542,4986,10528,1212.0,-554.0,658.0,2.160222558444115,-0.0299721088534974,MEPAS,HHZ,BEBENG,-8315.313790806129,1203.2452562571011,-8298.0,-14163.0,-2830.0,11333.0,771.0,-8675.0,-7904.0,6.035556662448911,-0.3190613583772741,MELAB,HHZ,BEBENG
-10745.558294470353,555.7797315719047,-10665.0,-14149,-8160,5989,104.0,-10717.0,-10613.0,8.486812721237929,-1.4885890120169434,MELAB,HHN,BEBENG,-21.16655562958028,3986.992718447004,-56.0,-19513.0,18687.0,38200.0,2413.0,-1202.0,1211.0,4.000727548269031,-0.1489496323611769,MEPAS,HHN,BEBENG
-12919.158069883528,1320.1330266147436,-12983.0,-17050,-8825,8225,1662.0,-13736.0,-12074.0,0.2736992208346751,0.0093989643689565,MELAB,HHE,BEBENG,26.7728181212525,3441.059766526796,14.0,-13731.0,14202.0,27933.0,2114.0,-1019.0,1095.0,3.309458632341084,0.1811594173623834,MEPAS,HHE,BEBENG
-8057.860279441118,796.3593009231374,-7998.0,-9898,-5977,3921,1095.0,-8606.0,-7511.0,-0.4291577962683974,-0.0241604249189655,MELAB,HHZ,BEBENG,-9.502998001332443,1738.3960776749802,-36.0,-10494.0,7978.0,18472.0,1331.0,-702.0,629.0,4.808833699220551,-0.0823835732020783,MEPAS,HHZ,BEBENG
44.70886075949367,1373.9432001493403,10.0,-4578,6997,11575,1602.0,-773.0,829.0,2.297266616810683,0.4899980524974562,MEPAS,HHE,BEBENG,-11952.875454545454,1373.3772334641058,-11634.5,-18896.0,-7042.0,11854.0,1283.25,-12461.0,-11177.75,3.624292553123799,-1.1436526981397055,MELAB,HHE,BEBENG
-168.52764823451034,2005.89509147157,-77.0,-8135,8457,16592,2210.0,-1213.0,997.0,1.2765585614732418,-0.2826410662568439,MEPAS,HHN,BEBENG,-10087.59493670886,1095.9537657720205,-10445.0,-14409.0,-7321.0,7088.0,1950.0,-10895.0,-8945.0,-0.8445980254007246,0.0242296364482305,MELAB,HHN,BEBENG
31.18454363757495,869.4467337560416,42.0,-2739,3774,6513,1021.0,-488.0,533.0,1.0514671992463471,0.1465491866308133,MEPAS,HHZ,BEBENG,-8315.313790806129,1203.2452562571011,-8298.0,-14163.0,-2830.0,11333.0,771.0,-8675.0,-7904.0,6.035556662448911,-0.3190613583772741,MELAB,HHZ,BEBENG
-13390.74812967581,2441.213484256029,-13105.0,-19499,-8118,11381,3596.0,-15201.0,-11605.0,-0.6444434956208474,-0.1832542165236301,MELAB,HHE,BEBENG,26.7728181212525,3441.059766526796,14.0,-13731.0,14202.0,27933.0,2114.0,-1019.0,1095.0,3.309458632341084,0.1811594173623834,MEPAS,HHE,BEBENG
-11263.263473053892,2103.915868678725,-11392.0,-15866,-4239,11627,3138.0,-12888.0,-9750.0,-0.2234745585690585,0.2864201625227813,MELAB,HHN,BEBENG,-21.16655562958028,3986.992718447004,-56.0,-19513.0,18687.0,38200.0,2413.0,-1202.0,1211.0,4.000727548269031,-0.1489496323611769,MEPAS,HHN,BEBENG
-8175.811485642946,1457.5962000207812,-8109.0,-12557,-3548,9009,1879.0,-9094.0,-7215.0,0.1522464977645077,-0.1021312327352824,MELAB,HHZ,BEBENG,-9.502998001332443,1738.3960776749802,-36.0,-10494.0,7978.0,18472.0,1331.0,-702.0,629.0,4.808833699220551,-0.0823835732020783,MEPAS,HHZ,BEBENG
35.265822784810126,2815.096538358431,49.0,-12352,8617,20969,3193.0,-1566.0,1627.0,1.2741227164300133,-0.2017688783568986,MEPAS,HHE,BEBENG,-11952.875454545454,1373.3772334641058,-11634.5,-18896.0,-7042.0,11854.0,1283.25,-12461.0,-11177.75,3.624292553123799,-1.1436526981397055,MELAB,HHE,BEBENG
248.99866755496336,3824.5915659366906,16.0,-11853,18202,30055,4111.0,-1772.0,2339.0,1.7329444357076191,0.3358155591817505,MEPAS,HHN,BEBENG,-10087.59493670886,1095.9537657720205,-10445.0,-14409.0,-7321.0,7088.0,1950.0,-10895.0,-8945.0,-0.8445980254007246,0.0242296364482305,MELAB,HHN,BEBENG
-16.403064623584278,1939.5959123560888,-94.0,-7019,6560,13579,2072.0,-1034.0,1038.0,1.1122308974293589,0.1466072563007566,MEPAS,HHZ,BEBENG,-8315.313790806129,1203.2452562571011,-8298.0,-14163.0,-2830.0,11333.0,771.0,-8675.0,-7904.0,6.035556662448911,-0.3190613583772741,MELAB,HHZ,BEBENG
-12440.876748834113,1569.2543747283146,-12472.0,-18260,-6914,11346,1582.0,-13152.0,-11570.0,0.8822567323452946,-0.1069724844060075,MELAB,HHE,BEBENG,26.7728181212525,3441.059766526796,14.0,-13731.0,14202.0,27933.0,2114.0,-1019.0,1095.0,3.309458632341084,0.1811594173623834,MEPAS,HHE,BEBENG
-11006.979347101931,1416.886839058331,-11045.0,-16332,-5929,10403,1167.0,-11554.0,-10387.0,1.1623880291445206,-0.1342583816038744,MELAB,HHN,BEBENG,-21.16655562958028,3986.992718447004,-56.0,-19513.0,18687.0,38200.0,2413.0,-1202.0,1211.0,4.000727548269031,-0.1489496323611769,MEPAS,HHN,BEBENG
-8254.582278481013,901.738821088512,-8267.0,-11504,-5147,6357,736.0,-8625.0,-7889.0,1.1986300262698162,0.1926483898102304,MELAB,HHZ,BEBENG,-9.502998001332443,1738.3960776749802,-36.0,-10494.0,7978.0,18472.0,1331.0,-702.0,629.0,4.808833699220551,-0.0823835732020783,MEPAS,HHZ,BEBENG
-75.68287808127914,2727.0541906962508,68.0,-9717,11514,21231,2490.0,-1347.0,1143.0,1.5219966992911784,0.0497097970929897,MEPAS,HHE,BEBENG,-11952.875454545454,1373.3772334641058,-11634.5,-18896.0,-7042.0,11854.0,1283.25,-12461.0,-11177.75,3.624292553123799,-1.1436526981397055,MELAB,HHE,BEBENG
205.0732844770153,3228.09436486505,83.0,-10377,14658,25035,2835.0,-1199.0,1636.0,1.1238653220215564,0.1696675093950184,MEPAS,HHN,BEBENG,-10087.59493670886,1095.9537657720205,-10445.0,-14409.0,-7321.0,7088.0,1950.0,-10895.0,-8945.0,-0.8445980254007246,0.0242296364482305,MELAB,HHN,BEBENG
2.5296469020652896,1618.113057867645,-13.0,-5561,8233,13794,1239.0,-669.0,570.0,2.058443384901784,0.3108078836776021,MEPAS,HHZ,BEBENG,-8315.313790806129,1203.2452562571011,-8298.0,-14163.0,-2830.0,11333.0,771.0,-8675.0,-7904.0,6.035556662448911,-0.3190613583772741,MELAB,HHZ,BEBENG
-13100.043970686207,1883.026098564057,-12625.0,-23240,-7508,15732,2106.0,-14013.0,-11907.0,1.9214750718608409,-1.034195319469867,MELAB,HHE,BEBENG,26.7728181212525,3441.059766526796,14.0,-13731.0,14202.0,27933.0,2114.0,-1019.0,1095.0,3.309458632341084,0.1811594173623834,MEPAS,HHE,BEBENG
-11439.7725,1162.7221862553483,-11392.5,-16031,-7328,8703,1375.25,-12132.0,-10756.75,0.9854228753950482,-0.045610241677031,MELAB,HHN,BEBENG,-21.16655562958028,3986.992718447004,-56.0,-19513.0,18687.0,38200.0,2413.0,-1202.0,1211.0,4.000727548269031,-0.1489496323611769,MEPAS,HHN,BEBENG
-7898.910891089109,1944.408816459376,-7478.0,-11830,-4131,7699,2985.0,-9414.0,-6429.0,-0.8904642752292373,-0.2085469849551709,MELAB,HHZ,BEBENG,-9.502998001332443,1738.3960776749802,-36.0,-10494.0,7978.0,18472.0,1331.0,-702.0,629.0,4.808833699220551,-0.0823835732020783,MEPAS,HHZ,BEBENG
106.78347768154563,1360.2307757305991,126.0,-4500,7350,11850,1647.0,-706.0,941.0,1.485564633591741,0.186605282598562,MEPAS,HHE,BEBENG,-11952.875454545454,1373.3772334641058,-11634.5,-18896.0,-7042.0,11854.0,1283.25,-12461.0,-11177.75,3.624292553123799,-1.1436526981397055,MELAB,HHE,BEBENG
97.97268487674884,1362.722168350777,64.0,-4439,6153,10592,1715.0,-769.0,946.0,0.6078467103164709,0.1499517220180222,MEPAS,HHN,BEBENG,-10087.59493670886,1095.9537657720205,-10445.0,-14409.0,-7321.0,7088.0,1950.0,-10895.0,-8945.0,-0.8445980254007246,0.0242296364482305,MELAB,HHN,BEBENG
-24.872085276482345,729.0777083117254,-67.0,-3050,2387,5437,892.0,-465.0,427.0,0.7629569282336557,-0.011437712393211,MEPAS,HHZ,BEBENG,-8315.313790806129,1203.2452562571011,-8298.0,-14163.0,-2830.0,11333.0,771.0,-8675.0,-7904.0,6.035556662448911,-0.3190613583772741,MELAB,HHZ,BEBENG
-12925.573617588274,2212.621802278214,-12880.0,-23097,-4649,18448,1889.0,-13874.0,-11985.0,3.1710030337449844,-0.2467130469347588,MELAB,HHE,BEBENG,26.7728181212525,3441.059766526796,14.0,-13731.0,14202.0,27933.0,2114.0,-1019.0,1095.0,3.309458632341084,0.1811594173623834,MEPAS,HHE,BEBENG
-11238.213191205865,1768.3083896232583,-11211.0,-19707,-3411,16296,1726.0,-12157.0,-10431.0,2.409970074482477,0.0864025400883831,MELAB,HHN,BEBENG,-21.16655562958028,3986.992718447004,-56.0,-19513.0,18687.0,38200.0,2413.0,-1202.0,1211.0,4.000727548269031,-0.1489496323611769,MEPAS,HHN,BEBENG
-8304.378414390407,1431.2333962998352,-8194.0,-13261,-2795,10466,1661.0,-9217.0,-7556.0,1.0998869513620804,0.0334177928910072,MELAB,HHZ,BEBENG,-9.502998001332443,1738.3960776749802,-36.0,-10494.0,7978.0,18472.0,1331.0,-702.0,629.0,4.808833699220551,-0.0823835732020783,MEPAS,HHZ,BEBENG
-19.96469020652898,4245.604574217745,85.0,-17018,13116,30134,3780.0,-1727.0,2053.0,1.7456443912882218,-0.4686682426776816,MEPAS,HHE,BEBENG,-11952.875454545454,1373.3772334641058,-11634.5,-18896.0,-7042.0,11854.0,1283.25,-12461.0,-11177.75,3.624292553123799,-1.1436526981397055,MELAB,HHE,BEBENG
-65.69553630912725,5737.254447745421,121.0,-25066,33545,58611,5128.0,-2551.0,2577.0,3.5285003294788737,0.1369018777907608,MEPAS,HHN,BEBENG,-10087.59493670886,1095.9537657720205,-10445.0,-14409.0,-7321.0,7088.0,1950.0,-10895.0,-8945.0,-0.8445980254007246,0.0242296364482305,MELAB,HHN,BEBENG
30.849433710859422,2567.5999089525308,80.0,-9943,12377,22320,2044.0,-1064.0,980.0,3.1927240381806783,0.3194008060590171,MEPAS,HHZ,BEBENG,-8315.313790806129,1203.2452562571011,-8298.0,-14163.0,-2830.0,11333.0,771.0,-8675.0,-7904.0,6.035556662448911,-0.3190613583772741,MELAB,HHZ,BEBENG
-12543.881412391738,998.5609969106724,-12533.0,-16833,-8414,8419,1026.0,-13033.0,-12007.0,2.599690293544628,-0.3288190908087771,MELAB,HHE,BEBENG,26.7728181212525,3441.059766526796,14.0,-13731.0,14202.0,27933.0,2114.0,-1019.0,1095.0,3.309458632341084,0.1811594173623834,MEPAS,HHE,BEBENG
-11065.097934710191,891.4627151788397,-11114.0,-15677,-6978,8699,1053.0,-11621.0,-10568.0,2.3947412424137786,0.2925044618397463,MELAB,HHN,BEBENG,-21.16655562958028,3986.992718447004,-56.0,-19513.0,18687.0,38200.0,2413.0,-1202.0,1211.0,4.000727548269031,-0.1489496323611769,MEPAS,HHN,BEBENG
-7837.8367754830115,657.7788645511718,-7794.0,-9991,-5513,4478,933.0,-8325.0,-7392.0,0.1729040095019747,-0.0002776182847738,MELAB,HHZ,BEBENG,-9.502998001332443,1738.3960776749802,-36.0,-10494.0,7978.0,18472.0,1331.0,-702.0,629.0,4.808833699220551,-0.0823835732020783,MEPAS,HHZ,BEBENG
