mean,standard_deviation,median,min_value,max_value,range,interquartile_range,q1,q3,kurtosis,skewness,station,channel,class
-10087.594936708861,1095.9537657720205,-10445.0,-14409,-7321,7088,1950.0,-10895.0,-8945.0,-0.8445980254007246,0.024229636448230594,MELAB,HHN,BEBENG
-8315.313790806129,1203.2452562571011,-8298.0,-14163,-2830,11333,771.0,-8675.0,-7904.0,6.035556662448911,-0.3190613583772741,MELAB,HHZ,BEBENG
-11952.875454545454,1373.3772334641058,-11634.5,-18896,-7042,11854,1283.25,-12461.0,-11177.75,3.624292553123799,-1.1436526981397055,MELAB,HHE,BEBENG
26.7728181212525,3441.0597665267956,14.0,-13731,14202,27933,2114.0,-1019.0,1095.0,3.3094586323410837,0.18115941736238345,MEPAS,HHE,BEBENG
-21.16655562958028,3986.992718447004,-56.0,-19513,18687,38200,2413.0,-1202.0,1211.0,4.0007275482690305,-0.14894963236117692,MEPAS,HHN,BEBENG
-9.502998001332445,1738.3960776749802,-36.0,-10494,7978,18472,1331.0,-702.0,629.0,4.808833699220551,-0.08238357320207837,MEPAS,HHZ,BEBENG
-12356.716855429713,1779.5798208799504,-12849.0,-16766,-5367,11399,2072.0,-13566.0,-11494.0,1.1220365891618531,1.0623096558392828,MELAB,HHE,BEBENG
-10712.443704197201,1240.5373694567438,-10833.0,-15870,-4034,11836,1215.0,-11395.0,-10180.0,3.1254148609577292,0.5936520470841526,MELAB,HHN,BEBENG
-7879.241172551632,839.9747564080457,-7862.0,-11407,-4840,6567,861.0,-8301.0,-7440.0,1.9230879439376558,-0.23054175345573408,MELAB,HHZ,BEBENG
-130.7861425716189,2356.9906863422634,-85.0,-9079,9955,19034,2098.0,-1189.0,909.0,2.0441285790709225,-0.012633214744351206,MEPAS,HHE,BEBENG
142.86342438374416,2922.140152916319,258.0,-13454,13550,27004,2367.0,-918.0,1449.0,3.3721672575231025,-0.3716619650515497,MEPAS,HHN,BEBENG
22.062624916722186,1463.9060245941141,24.0,-6740,5722,12462,1437.0,-699.0,738.0,2.0322831945386266,-0.09287111537625452,MEPAS,HHZ,BEBENG
-12420.612258494337,1787.1156470690316,-12118.0,-20095,-5553,14542,2038.0,-13311.0,-11273.0,1.7396199182947685,-0.6976953960663643,MELAB,HHE,BEBENG
-10896.167888074617,1718.2843479455141,-10748.0,-21683,-3843,17840,1559.0,-11610.0,-10051.0,3.9438306570087054,-0.7519287512643313,MELAB,HHN,BEBENG
-7959.637574950033,1091.805334282873,-7948.0,-11959,-3167,8792,795.0,-8361.0,-7566.0,2.9248839573754015,0.18372362310387555,MELAB,HHZ,BEBENG
16.87541638907395,3427.383526430001,-53.0,-14757,12935,27692,2364.0,-1145.0,1219.0,2.8863836687510425,0.014773492301223577,MEPAS,HHE,BEBENG
-157.37308461025984,3747.307141424843,-52.0,-18362,14178,32540,2785.0,-1420.0,1365.0,3.8077318278787393,-0.38857114274968085,MEPAS,HHN,BEBENG
-22.07128580946036,1971.3354116887433,-51.0,-10370,9107,19477,1561.0,-766.0,795.0,3.8464871921738064,-0.14465591880814452,MEPAS,HHZ,BEBENG
-12798.526315789473,1258.2494523546527,-12744.0,-18427,-6358,12069,1591.0,-13576.0,-11985.0,1.5599524629813715,-0.07910727173706446,MELAB,HHE,BEBENG
-10810.889407061959,1034.6511433499818,-10770.0,-14360,-7335,7025,1393.0,-11505.0,-10112.0,0.26143380306434194,-0.01138983729945236,MELAB,HHN,BEBENG
-7890.668221185876,782.3480386292721,-7859.0,-10775,-4876,5899,939.0,-8355.0,-7416.0,1.0368964075672027,-0.1972313795030195,MELAB,HHZ,BEBENG
45.832111925383074,2003.9768406037913,79.0,-8106,10760,18866,1968.0,-915.0,1053.0,2.7414590512006924,-0.0016296443131803395,MEPAS,HHE,BEBENG
-53.49233844103931,2418.1780315173623,-112.0,-11896,10254,22150,2348.0,-1275.0,1073.0,2.9448176541914304,0.002011385664000985,MEPAS,HHN,BEBENG
52.65889407061959,1190.3833362595203,40.0,-5542,4986,10528,1212.0,-554.0,658.0,2.160222558444115,-0.029972108853497405,MEPAS,HHZ,BEBENG
-10745.558294470353,555.7797315719047,-10665.0,-14149,-8160,5989,104.0,-10717.0,-10613.0,8.486812721237929,-1.4885890120169434,MELAB,HHN,BEBENG
-12919.158069883528,1320.1330266147436,-12983.0,-17050,-8825,8225,1662.0,-13736.0,-12074.0,0.2736992208346751,0.00939896436895657,MELAB,HHE,BEBENG
-8057.860279441118,796.3593009231374,-7998.0,-9898,-5977,3921,1095.0,-8606.0,-7511.0,-0.42915779626839745,-0.024160424918965525,MELAB,HHZ,BEBENG
44.70886075949367,1373.9432001493403,10.0,-4578,6997,11575,1602.0,-773.0,829.0,2.297266616810683,0.48999805249745626,MEPAS,HHE,BEBENG
-168.52764823451034,2005.8950914715701,-77.0,-8135,8457,16592,2210.0,-1213.0,997.0,1.2765585614732418,-0.28264106625684393,MEPAS,HHN,BEBENG
31.18454363757495,869.4467337560416,42.0,-2739,3774,6513,1021.0,-488.0,533.0,1.0514671992463471,0.14654918663081337,MEPAS,HHZ,BEBENG
-13390.74812967581,2441.2134842560286,-13105.0,-19499,-8118,11381,3596.0,-15201.0,-11605.0,-0.6444434956208474,-0.18325421652363014,MELAB,HHE,BEBENG
-11263.263473053892,2103.9158686787255,-11392.0,-15866,-4239,11627,3138.0,-12888.0,-9750.0,-0.2234745585690585,0.2864201625227813,MELAB,HHN,BEBENG
